"YEAR","STATEFIP","HHINCOME","UHRSWORKT"
2016,23,13309,999
2016,23,29296,999
2016,23,29296,999
2016,23,24099,999
2016,23,6300,999
2016,23,6300,999
2016,23,8796,999
2016,23,8796,999
2016,23,17786,999
2016,23,17402,999
2016,23,17402,999
2016,23,44453,999
2016,23,44453,40
2016,23,52030,999
2016,23,52030,999
2016,23,90872,36
2016,23,90872,40
2016,23,28000,997
2016,23,28000,40
2016,23,28000,999
2016,23,28000,999
2016,23,28000,999
2016,23,17796,999
2016,23,44074,999
2016,23,44074,999
2016,23,22709,999
2016,23,22709,999
2016,23,22709,999
2016,23,22709,999
2016,23,134722,999
2016,23,134722,40
2016,23,86470,37
2016,23,86470,60
2016,23,106219,999
2016,23,106219,40
2016,23,25515,999
2016,23,25515,999
2016,23,9779,999
2016,23,11783,999
2016,23,31548,999
2016,23,31548,999
2016,23,96421,999
2016,23,96421,999
2016,23,11392,999
2016,23,11392,999
2016,23,97025,40
2016,23,97025,40
2016,23,37897,997
2016,23,37897,997
2016,23,77953,40
2016,23,77953,997
2016,23,117048,45
2016,23,117048,40
2016,23,88000,40
2016,23,88000,40
2016,23,35801,45
2016,23,35801,40
2016,23,170068,47
2016,23,170068,40
2016,23,170068,999
2016,23,106970,40
2016,23,106970,55
2016,23,106970,999
2016,23,106970,999
2016,23,80205,36
2016,23,80205,997
2016,23,80205,999
2016,23,80205,999
2016,23,43000,45
2016,23,43000,999
2016,23,43000,999
2016,23,239738,40
2016,23,239738,40
2016,23,100190,999
2016,23,100190,40
2016,23,100190,999
2016,23,100190,999
2016,23,10452,999
2016,23,10452,999
2016,23,65861,40
2016,23,65861,40
2016,23,50816,999
2016,23,101337,997
2016,23,101337,997
2016,23,20040,55
2016,23,72100,40
2016,23,72100,40
2016,23,72100,999
2016,23,32000,40
2016,23,24318,999
2016,23,17404,999
2016,23,17404,999
2016,23,63001,40
2016,23,63001,36
2016,23,40417,999
2016,23,55316,999
2016,23,55316,999
2016,23,68010,40
2016,23,68010,999
2016,23,34440,999
2016,23,34440,999
2016,23,73258,40
2016,23,73258,22
2016,23,46050,40
2016,23,7200,50
2016,23,65420,40
2016,23,65420,40
2016,23,65420,10
2016,23,282136,997
2016,23,282136,999
2016,23,14185,999
2016,23,68016,999
2016,23,68016,40
2016,23,68016,997
2016,23,68016,999
2016,23,20412,999
2016,23,18761,999
2016,23,89797,37
2016,23,89797,30
2016,23,17086,999
2016,23,154830,999
2016,23,154830,997
2016,23,20076,999
2016,23,20076,999
2016,23,24115,999
2016,23,21944,999
2016,23,22518,60
2016,23,17000,45
2016,23,28002,43
2016,23,28002,999
2016,23,28002,999
2016,23,59689,40
2016,23,46515,999
2016,23,46515,50
2016,23,29502,997
2016,23,22012,40
2016,23,14010,23
2016,23,27000,50
2016,23,38104,40
2016,23,38104,999
2016,23,43000,45
2016,23,76330,997
2016,23,220200,40
2016,23,220200,999
2016,23,220200,999
2016,23,220200,999
2016,23,52000,997
2016,23,52000,40
2016,23,52000,999
2016,23,52000,999
2016,23,52000,999
2016,23,46720,999
2016,23,46720,40
2016,23,66581,40
2016,23,66581,40
2016,23,66581,999
2016,23,67525,16
2016,23,67525,999
2016,23,67525,999
2016,23,67525,40
2016,23,67525,999
2016,23,67525,999
2016,23,67525,999
2016,23,142000,45
2016,23,142000,40
2016,23,142000,999
2016,23,142000,999
2016,23,5501,0
2016,23,5501,40
2016,23,5501,999
2016,23,5501,999
2016,23,72000,45
2016,23,72000,48
2016,23,72000,24
2016,23,72000,999
2016,23,18900,999
2016,23,18900,30
2016,23,15002,0
2016,23,15002,999
2016,23,10868,32
2016,23,82001,40
2016,23,82001,999
2016,23,98700,40
2016,23,98700,60
2016,23,28752,32
2016,23,68307,40
2016,23,68307,999
2016,23,68307,40
2016,23,68307,50
2016,23,68307,999
2016,23,96171,42
2016,23,96171,999
2016,23,96171,999
2016,23,96171,40
2016,23,29224,999
2016,23,29224,999
2016,23,57514,20
2016,23,11337,999
2016,23,11337,999
2016,23,11337,999
2016,23,118250,38
2016,23,118250,35
2016,23,118250,999
2016,23,118250,999
2016,23,118250,999
2016,23,118250,999
2016,23,22262,999
2016,23,10898,999
2016,23,10898,20
2016,23,54471,35
2016,23,54471,40
2016,23,100026,40
2016,23,100026,60
2016,23,100026,999
2016,23,94000,70
2016,23,64602,20
2016,23,64602,15
2016,23,64602,999
2016,23,64602,999
2016,23,64602,999
2016,23,64602,999
2016,23,36652,999
2016,23,36652,999
2016,23,28574,999
2016,23,28574,999
2016,23,27552,999
2016,23,11268,999
2016,23,11580,999
2016,23,6140,999
2016,23,6140,999
2016,23,62947,0
2016,23,62947,50
2016,23,63379,40
2016,23,63379,40
2016,23,23516,999
2016,23,23516,20
2016,23,170000,39
2016,23,170000,60
2016,23,170000,999
2016,23,170000,999
2016,23,51019,999
2016,23,51019,36
2016,23,35000,999
2016,23,2,999
2016,23,2,999
2016,23,35920,40
2016,23,74361,20
2016,23,74361,40
2016,23,14000,30
2016,23,18111,36
2016,23,70015,45
2016,23,70015,50
2016,23,70015,999
2016,23,20582,999
2016,23,57306,77
2016,23,9937,999
2016,23,13259,999
2016,23,14679,999
2016,23,0,20
2016,23,0,999
2016,23,0,999
2016,23,69956,65
2016,23,69956,64
2016,23,69956,999
2016,23,173205,999
2016,23,173205,30
2016,23,173205,4
2016,23,31800,999
2016,23,31800,999
2016,23,31800,999
2016,23,31800,999
2016,23,32027,35
2016,23,32027,999
2016,23,17167,999
2016,23,17167,999
2016,23,17167,999
2016,23,29910,999
2016,23,10000,40
2016,23,11052,35
2016,23,11052,999
2016,23,7800,40
2016,23,51616,997
2016,23,51616,999
2016,23,60983,999
2016,23,60983,999
2016,23,14526,999
2016,23,36358,20
2016,23,36358,999
2016,23,65020,40
2016,23,65020,36
2016,23,51679,60
2016,23,51679,40
2016,23,51679,999
2016,23,51679,999
2016,23,51679,999
2016,23,80747,999
2016,23,80747,999
2016,23,2523,999
2016,23,10800,999
2016,23,13676,999
2016,23,50006,25
2016,23,52007,40
2016,23,52007,30
2016,23,20740,999
2016,23,33134,999
2016,23,33134,999
2016,23,10188,999
